ax_0_0_plot_000_x,ax_0_0_plot_000_y,ax_0_0_plot_001_x,ax_0_0_plot_001_y,ax_1_0_plot_002_x,ax_1_0_plot_002_y,ax_1_0_plot_003_x,ax_1_0_plot_003_y,ax_1_0_plot_004_x,ax_1_0_plot_004_y,ax_2_0_plot_005_x,ax_2_0_plot_005_y,ax_2_0_plot_006_x,ax_2_0_plot_006_y
0.0,1.0,0.0,1.0,0.0,1.0434185,0.0,1.0434185,0.0,1.0,0.0,-0.28949478,0.0,-0.28949487
0.0025,0.9729577,0.0025,1.0235533,0.0025,0.98109937,0.0025,0.9810996,0.0025,1.0235533,0.0025,0.12891953,0.0025,0.12891968
0.005,0.8431912,0.005,1.0470542,0.005,0.9963424,0.005,0.9963423,0.005,1.0470542,0.005,0.5618206,0.005,0.56182057
0.0075,0.61685866,0.0075,1.0704507,0.0075,0.9988622,0.0075,0.99886215,0.0075,1.0704507,0.0075,0.90515786,0.0075,0.90515786
0.01,0.31165686,0.01,1.0936906,0.01,1.0528327,0.01,1.0528327,0.01,1.0936906,0.01,1.2702758,0.01,1.2702757
0.0125,-0.043952152,0.0125,1.1167227,0.0125,1.065319,0.0125,1.065319,0.0125,1.1167227,0.0125,1.6120653,0.0125,1.6120653
0.015,-0.4129617,0.015,1.1394956,0.015,1.1177174,0.015,1.1177175,0.015,1.1394956,0.015,1.9492338,0.015,1.9492335
0.0175,-0.7534137,0.0175,1.1619587,0.0175,1.1368688,0.0175,1.136869,0.0175,1.1619587,0.0175,2.2952273,0.0175,2.295227
0.02,-1.0230893,0.02,1.1840622,0.02,1.1772081,0.02,1.177208,0.02,1.1840622,0.02,2.624138,0.02,2.624138
0.0225,-1.1848247,0.0225,1.2057571,0.0225,1.2016929,0.0225,1.2016928,0.0225,1.2057571,0.0225,2.973843,0.0225,2.9738429
0.025,-1.2118132,0.025,1.2269952,0.025,1.2283255,0.025,1.2283257,0.025,1.2269952,0.025,-2.9774377,0.025,-2.977438
0.0275,-1.0921607,0.0275,1.2477293,0.0275,1.2559544,0.0275,1.2559549,0.0275,1.2477293,0.0275,-2.62516,0.0275,-2.6251597
0.03,-0.8319516,0.03,1.2679133,0.03,1.2717158,0.03,1.2717158,0.03,1.2679133,0.03,-2.2839158,0.03,-2.2839158
0.0325,-0.45619014,0.0325,1.2875026,0.0325,1.299441,0.0325,1.2994407,0.0325,1.2875026,0.0325,-1.9295062,0.0325,-1.9295062
0.035,-0.0072005684,0.035,1.3064536,0.035,1.3094026,0.035,1.3094023,0.035,1.3064536,0.035,-1.5762955,0.035,-1.5762955
0.0375,0.45961028,0.0375,1.3247241,0.0375,1.3340681,0.0375,1.3340681,0.0375,1.3247241,0.0375,-1.2190711,0.0375,-1.2190711
0.04,0.88233757,0.04,1.3422736,0.04,1.3434592,0.04,1.3434595,0.04,1.3422736,0.04,-0.854275,0.04,-0.85427505
0.0425,1.2008178,0.0425,1.3590631,0.0425,1.362808,0.0425,1.3628079,0.0425,1.3590631,0.0425,-0.49253932,0.0425,-0.4925393
0.045,1.3654765,0.045,1.3750556,0.045,1.3751309,0.045,1.3751309,0.045,1.3750556,0.045,-0.11856617,0.045,-0.11856612
0.0475,1.3454986,0.0475,1.3902152,0.0475,1.3885981,0.0475,1.3885981,0.0475,1.3902152,0.0475,0.24980053,0.0475,0.24980053
0.05,1.1349698,0.05,1.4045085,0.05,1.4045135,0.05,1.4045137,0.05,1.4045085,0.05,0.62989825,0.05,0.62989813
0.0525,0.7557877,0.0525,1.4179037,0.0525,1.4133642,0.0525,1.4133643,0.0525,1.4179037,0.0525,1.0065918,0.0525,1.0065919
0.055,0.25651065,0.055,1.430371,0.055,1.430827,0.055,1.430827,0.055,1.430371,0.055,1.3905475,0.055,1.3905474
0.0575,-0.2931181,0.0575,1.4418828,0.0575,1.43747,0.0575,1.4374702,0.0575,1.4418828,0.0575,1.776149,0.0575,1.7761489
0.06,-0.81154716,0.06,1.4524136,0.06,1.4530654,0.06,1.4530653,0.06,1.4524136,0.06,2.163381,0.06,2.163381
0.0625,-1.2175533,0.0625,1.4619398,0.0625,1.4598237,0.0625,1.4598237,0.0625,1.4619398,0.0625,2.5571892,0.0625,2.5571892
0.065,-1.4433874,0.065,1.4704404,0.065,1.4706343,0.065,1.4706346,0.065,1.4704404,0.065,2.9487977,0.065,2.9487977
0.0675,-1.4467994,0.0675,1.4778965,0.0675,1.4785708,0.0675,1.478571,0.0675,1.4778965,0.0675,-2.9339137,0.0675,-2.9339137
0.07,-1.2197579,0.07,1.4842916,0.07,1.4836208,0.07,1.4836209,0.07,1.4842916,0.07,-2.5359726,0.07,-2.5359726
0.0725,-0.79202443,0.0725,1.4896114,0.0725,1.4920238,0.0725,1.492024,0.0725,1.4896114,0.0725,-2.1303864,0.0725,-2.1303866
0.075,-0.2284595,0.075,1.4938442,0.075,1.4925677,0.075,1.4925678,0.075,1.4938442,0.075,-1.7244653,0.075,-1.7244651
0.0775,0.3800417,0.0775,1.4969804,0.0775,1.499386,0.0775,1.4993858,0.0775,1.4969804,0.0775,-1.3145359,0.0775,-1.3145359
0.08,0.9309238,0.08,1.4990133,0.08,1.4979398,0.08,1.49794,0.08,1.4990133,0.08,-0.9001794,0.08,-0.9001794
0.0825,1.3274956,0.0825,1.4999384,0.0825,1.5009578,0.0825,1.5009581,0.0825,1.4999384,0.0825,-0.48552057,0.0825,-0.48552042
0.085,1.4966285,0.085,1.4997532,0.085,1.4996624,0.085,1.4996624,0.085,1.4997532,0.085,-0.063618295,0.085,-0.06361811
0.0875,1.4033234,0.0875,1.4984586,0.0875,1.4977808,0.0875,1.4977804,0.0875,1.4984586,0.0875,0.35704058,0.0875,0.35704064
0.09,1.059121,0.09,1.4960574,0.09,1.4970839,0.09,1.4970841,0.09,1.4960574,0.09,0.7849042,0.09,0.7849042
0.0925,0.522245,0.0925,1.4925547,0.0925,1.4909385,0.0925,1.4909387,0.0925,1.4925547,0.0925,1.212927,0.0925,1.2129271
0.095,-0.111195266,0.095,1.4879584,0.095,1.4894242,0.095,1.4894238,0.095,1.4879584,0.095,1.6455222,0.095,1.6455224
0.0975,-0.72389096,0.0975,1.4822787,0.0975,1.4809308,0.0975,1.4809307,0.0975,1.4822787,0.0975,2.0815194,0.0975,2.0815191
0.1,-1.1991668,0.1,1.4755282,0.1,1.4763882,0.1,1.4763881,0.1,1.4755282,0.1,2.5187612,0.1,2.5187614
0.1025,-1.4439284,0.1025,1.467722,0.1025,1.4674733,0.1025,1.4674733,0.1025,1.467722,0.1025,2.9622178,0.1025,2.9622178
0.105,-1.4081213,0.105,1.4588773,0.105,1.4584934,0.105,1.4584932,0.105,1.4588773,0.105,-2.8780112,0.105,-2.8780112
0.1075,-1.0964489,0.1075,1.4490138,0.1075,1.4498361,0.1075,1.4498361,0.1075,1.4490138,0.1075,-2.42837,0.1075,-2.42837
0.11,-0.5693924,0.11,1.4381534,0.11,1.4368125,0.11,1.4368119,0.11,1.4381534,0.11,-1.9782673,0.11,-1.9782674
0.1125,0.067357145,0.1125,1.4263201,0.1125,1.4274602,0.1125,1.4274601,0.1125,1.4263201,0.1125,-1.5235921,0.1125,-1.5235922
0.115,0.68351257,0.115,1.4135402,0.115,1.4122753,0.115,1.4122756,0.115,1.4135402,0.115,-1.0655996,0.115,-1.0655994
0.1175,1.150987,0.1175,1.3998424,0.1175,1.4004344,0.1175,1.4004343,0.1175,1.3998424,0.1175,-0.60609555,0.1175,-0.60609555
0.12,1.3713676,0.12,1.3852566,0.12,1.3850558,0.12,1.3850558,0.12,1.3852566,0.12,-0.1407068,0.12,-0.14070696
0.1225,1.2980269,0.1225,1.3698156,0.1225,1.369512,0.1225,1.369512,0.1225,1.3698156,0.1225,0.32452384,0.1225,0.32452384
0.125,0.94764066,0.125,1.3535534,0.125,1.3545558,0.125,1.3545558,0.125,1.3535534,0.125,0.79596573,0.125,0.7959658
0.1275,0.39796245,0.1275,1.3365062,0.1275,1.3356721,0.1275,1.3356723,0.1275,1.3365062,0.1275,1.2682526,0.1275,1.2682527
0.13,-0.22831021,0.13,1.318712,0.13,1.3200707,0.13,1.3200705,0.13,1.318712,0.13,1.7446234,0.13,1.7446234
0.1325,-0.79050213,0.1325,1.3002101,0.1325,1.2995713,0.1325,1.2995714,0.1325,1.3002101,0.1325,2.224687,0.1325,2.224687
0.135,-1.16194,0.135,1.2810417,0.135,1.281612,0.135,1.2816119,0.135,1.2810417,0.135,2.7060087,0.135,2.7060087
